State/Centre,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter Concept Name,Topic Name,Topic Concept Name,Sub-Topic,Keywords,Name,Description,Icon / Image filepath,File Type,File Path,Audience,Content Purpose,Content Duration (in mins),Content Size (in MB),License Type (CC-BY etc),Content Author/Provider Name,Comments
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Top - Bottom,Shapes and Space,NA,"Top, bottom",Shapes And Space_Top - Bottom_2,"Math-Magic_1_Shapes And Space_Top - Bottom_Top, bottom",https://drive.google.com/open?id=1UcW97qDs62HnxmX5hYOD4pAnbGQv8FSC,URL (YouTube),https://www.youtube.com/watch?v=4YuP6ySZYvk,Learner,Explanation Content,4:35,NA,Standard YouTube License,Periwinkle_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Top - Bottom,Shapes and Space,NA,"Top, bottom",Shapes And Space_Top - Bottom_3,"Math-Magic_1_Shapes And Space_Top - Bottom_Top, bottom",https://drive.google.com/open?id=1zWHQewXY7Gp75jVnelFA8Agyk8W3dMAP,URL (YouTube),https://www.youtube.com/watch?v=i2ksga42GbE,Learner,Explanation Content,2:04,NA,Standard YouTube License,Sukhdev Singh_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Nearer - Farther,Distance Measurement,NA,"Nearer, Farther",Shapes And Space_Nearer - Farther_1,"Math-Magic_1_Shapes And Space_Nearer - Farther_Nearer, Farther",https://drive.google.com/open?id=1cQJtkPCsenbteSKTQWnTuWTw2JHTVkeE,URL (YouTube),https://www.youtube.com/watch?v=MiA5CfUdnn0,Learner,Explanation Content,1:04,NA,Standard YouTube License,math tricks tips_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Nearer - Farther,Distance Measurement,NA,"Nearer, Farther",Shapes And Space_Nearer - Farther_2,"Math-Magic_1_Shapes And Space_Nearer - Farther_Nearer, Farther",https://drive.google.com/open?id=1Z5hETTwZgbXrJULBtfiV-EtxaZqZBYDb,URL (YouTube),https://www.youtube.com/watch?v=2yLHYvLsKcs,Learner,Explanation Content,2:26,NA,Standard YouTube License,Learn Maths with Fun_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Nearest - Farthest,Distance Measurement,NA,"Nearest, farthest",Shapes And Space_Nearest - Farthest_1,"Math-Magic_1_Shapes And Space_Nearest - Farthest_Nearest, Farthest",https://drive.google.com/open?id=12amILQHJoPN1Jz6c9cPNOZJVyqCqeuxr,URL (YouTube),https://www.youtube.com/watch?v=J0e4WFOaXvw&t=88s,Learner,Explanation Content,5:34,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Nearest - Farthest,Distance Measurement,NA,"Nearer, farther, nearest, farthest",Shapes And Space_Nearest - Farthest_2,"Math-Magic_1_Shapes And Space_Nearest - Farthest_Nearest, Farthest",https://drive.google.com/open?id=14RYagW7p7ULTMQGgHEDPVqmGeID6yR7Z,URL (YouTube),https://www.youtube.com/watch?v=sCkqPIJbsNQ&t=49s,Learner,Explanation Content,12:24,NA,Standard YouTube License,Sanvi Publication_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,On - Under Above - Below,"Position, Direction",NA,"On, under, above, below",Shapes And Space_On - Under Above - Below_1,Math-Magic_1_Shapes And Space_On - Under Above - Below_On - Under Above - Below,https://drive.google.com/open?id=1vJlFpQMyBgSBvlgV2h4gpWaovITmA5JI,URL (YouTube),https://www.youtube.com/watch?v=UUsMy8kx_PM,Learner,Explanation Content,3:38,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,On - Under Above - Below,"Position, Direction",NA,"On, under, above, below",Shapes And Space_On - Under Above - Below_2,Math-Magic_1_Shapes And Space_On - Under Above - Below_On - Under Above - Below,https://drive.google.com/open?id=1wdW-9uaS49N17Dg_vzVcWxric3z5oDaN,URL (YouTube),https://www.youtube.com/watch?v=cN2IlNeQ9eI,Learner,Explanation Content,6:18,NA,Standard YouTube License,PreeoLearning_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Shapes around us,"Different shapes around us (color, size etc)",NA,"Toy, box, cube, ball, circle, sphere, line, round",Shapes And Space_Shapes around us_1,Math-Magic_1_Shapes And Space_Shapes around us_Shapes Around Us,https://drive.google.com/open?id=1YR8UNg-WSyHjWqDsd2ZK5GrLgyKMebAP,URL (YouTube),https://www.youtube.com/watch?v=wHzlq9ckAM8,Learner,Explanation Content,2:52,NA,Standard YouTube License,Evolton _www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Shapes around us,"Different shapes around us (color, size etc)",NA,"Triangle, rectangle, square, circle, pyramid, cone",Shapes And Space_Shapes around us_2,Math-Magic_1_Shapes And Space_Shapes around us_Shapes Around Us,https://drive.google.com/open?id=1GboWCfFtViz8CVASVEt_M0TsNhP4eaiA,URL (YouTube),https://www.youtube.com/watch?v=3lqEz7OcDNw,Learner,Explanation Content,1:08,NA,Standard YouTube License,Pebbles Kid Learning_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Shapes around us,"Different shapes around us (color, size etc)",NA,"Square, rectangle, triangle, semicircle, oval, hexagon, octagon, pentagon, sphere, round, cube",Shapes And Space_Shapes around us_3,Math-Magic_1_Shapes And Space_Shapes around us_Shapes Around Us,https://drive.google.com/open?id=1ZcWI8MnT2qTIXtVJJ2_FYAXYN23PpcuJ,URL (YouTube),https://www.youtube.com/watch?v=14uOL_dUcJ4&t=579s,Learner,Explanation Content,28:00,NA,Standard YouTube License,Pebbles CBSE Board Syllabus_www.youtube.com,It is a lengthy video
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Sorting,"Sorting, Matching",NA,"Sorting, matching, shape",Shapes And Space_Sorting_1,"Math-Magic_1_Shapes And Space_Sorting_Sorting, Matching",https://drive.google.com/open?id=18FKDrhqkyVZS4PPt-07wb88w7EJKNV1K,URL (YouTube),https://www.youtube.com/watch?v=Ux8cDUpbHfk,Learner,Explanation Content,4:09,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Sorting,"Sorting, Matching",NA,"Sorting, matching, shape",Shapes And Space_Sorting_2,"Math-Magic_1_Shapes And Space_Sorting_Sorting, Matching",https://drive.google.com/open?id=1AA5g2M5KTeCNAf76ZTyBXncoli5RGyv0,URL (YouTube),https://www.youtube.com/watch?v=LEWTdylEAQM,Learner,Explanation Content,7:06,NA,Standard YouTube License,dcfreez1_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Sorting,"Sorting, Matching",NA,"Sort, match, same colour, together, same size, line up",Shapes And Space_Sorting_3,"Math-Magic_1_Shapes And Space_Sorting_Sorting, Matching",https://drive.google.com/open?id=1LGDI_Lvs20VDhW25uz_g_cX1vxRatrg-,URL (YouTube),https://www.youtube.com/watch?v=3YWSnvsRizI,Learner,Explanation Content,5:00,NA,Standard YouTube License,HSC-TEACH-VIDEO_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Rolling - Sliding,Shapes,NA,"Roll, slide",Shapes And Space_Rolling - Sliding_1,Math-Magic_1_Shapes And Space_Rolling - Sliding_Rolling - Sliding,https://drive.google.com/open?id=1U-TGEGvnVj3wNnJMRypuA50OlhvSbi0Z,URL (YouTube),https://www.youtube.com/watch?v=kvwT2D33zbE,Learner,Explanation Content,1:54,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Rolling - Sliding,Shapes,NA,"Roll, slide, no corner, curved surface, pushed along, flat surface",Shapes And Space_Rolling - Sliding_2,Math-Magic_1_Shapes And Space_Rolling - Sliding_Rolling - Sliding,https://drive.google.com/open?id=1qVeaCuJTMhU9ggJPEiIzz-L6CTcO3aNW,URL (YouTube),https://www.youtube.com/watch?v=1WHBIDxQMkQ,Learner,Explanation Content,0:52,NA,Standard YouTube License,EDUBULL_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Rolling - Sliding,Shapes,NA,"Curved surface, roll, slide, object, shape",Shapes And Space_Rolling - Sliding_3,Math-Magic_1_Shapes And Space_Rolling - Sliding_Rolling - Sliding,https://drive.google.com/open?id=166UH3pvp8YPMJ1akhUbWKyef8xzIog1K,URL (YouTube),https://www.youtube.com/watch?v=_bl-rXsWajs,Learner,Explanation Content,0:22,NA,Standard YouTube License,Goyal Brothers Prakashan_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Wise Grandmother,Reasoning,NA,"Land, grandmother, wise, jungle, wolf, return, dholak",Shapes And Space_Wise Grandmother_1,Math-Magic_1_Shapes And Space_Wise Grandmother_Wise Grandmother,https://drive.google.com/open?id=1T-K-gkJizgMJBaKostXADZ7m6liCYOay,URL (YouTube),https://www.youtube.com/watch?v=KOwkpihuSmc,Learner,Explanation Content,2:09,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,NA,NA,NA,"Circle, triangle, square,size, shape, rectangle",Shapes And Space_1,Math-Magic_1_Shapes And Space_Shapes and Space,https://drive.google.com/open?id=1X5iq7mzHWlylxBgui-fI5zpLYij7WhHf,URL (YouTube),https://www.youtube.com/watch?v=2O6sgKUco3Y,Learner,Explanation Content,1:46,NA,Standard YouTube License,Learnoid Math_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,NA,NA,NA,"Circle, triangle, square, same size, shape, rectangle, geometric solid, cube, prism, cuboid, pyramid, hexagon, pentagon, ocatgon",Shapes And Space_2,Math-Magic_1_Shapes And Space_Shapes and Space,https://drive.google.com/open?id=14khfm7bGWW0rQg4ktKODAUuJdtXrt1Ry,URL (YouTube),https://www.youtube.com/watch?v=sVfHZ7Wf2Ao,Learner,Explanation Content,12:05,NA,Standard YouTube License,Mizyaka Dizyaka ENG_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,NA,NA,NA,"Circle, triangle, square, same size, shape, rectangle",Shapes And Space_3,Math-Magic_1_Shapes And Space_Shapes and Space,https://drive.google.com/open?id=1JfLrAa2fakzumu-ga1PRfmlgh9FLTEaS,URL (YouTube),https://www.youtube.com/watch?v=rMNa9wICWbo,Learner,Explanation Content,10:07,NA,Standard YouTube License,Iken Edu_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,NA,NA,NA,"Circle, triangle, square, shape, rectangle",Shapes And Space_4,Math-Magic_1_Shapes And Space_Shapes and Space,https://drive.google.com/open?id=1fF5xq1mk8n0zogNEyeoJAZ-pQwOAJryO,URL (YouTube),https://www.youtube.com/watch?v=pfRuLS-Vnjs,Learner,Explanation Content,1:50,NA,Standard YouTube License,KidsTV123_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,As many as,Number Counting,NA,"Number, one, two, three, four, five, six, seven, eight, nine",Numbers from One to Nine_As many as_1,Math-Magic_2_Numbers from One to Nine_As many as_Numbers from One to Nine,https://drive.google.com/open?id=1QZZXWT0t_ScZs-2iFAxIDqVpG1vuN6lX,URL (YouTube),https://www.youtube.com/watch?v=_wmC9XlWhkM&list=PLys3ah1u9wnGpj4VhWErKvnaRt7gAqvNs,Learner,Explanation Content,5:51,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,As many as,Number Counting,NA,"Number, one, two, three, four, five, six, seven, eight, nine, as many as",Numbers from One to Nine_As many as_2,Math-Magic_2_Numbers from One to Nine_As many as_Numbers from One to Nine,https://drive.google.com/open?id=1qFz_sItz7Z7EGQc9WVhBOrMRCieRuKed,URL (YouTube),https://www.youtube.com/watch?v=yCKrfiUl6No,Learner,Explanation Content,7:51,NA,Standard YouTube License,Sanvi Publication_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Counting,Counting,NA,"One, two, three, four, five, six, seven, eight nine, ten, counting",Numbers from One to Nine_Counting_1,Math-Magic_2_Numbers from One to Nine_Counting_Count and Write,https://drive.google.com/open?id=1ZZpEGE1IWhaKBB3XaVxO9AHZeCZgs5Gz,URL (YouTube),https://www.youtube.com/watch?v=OqX2LKKM1Nw,Learner,Explanation Content,2:09,NA,Standard YouTube License,Pebbles Kids Learning_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Counting,Counting,NA,"One, two, three, four, five, six, seven, eight nine, ten",Numbers from One to Nine_Counting_2,Math-Magic_2_Numbers from One to Nine_Counting_Count and Write,https://drive.google.com/open?id=1zVbAalV_r_eYTHscpnNwc23INqbgGQPx,URL (YouTube),https://www.youtube.com/watch?v=7834JCVXGm4,Learner,Explanation Content,5:25,NA,Standard YouTube License,Periwinkle_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Counting,Counting,NA,"One, two, three, four, five, six, seven, eight nine, ten, eleven, twelve, twenty, thirty, forty, fifty",Numbers from One to Nine_Counting_3,Math-Magic_2_Numbers from One to Nine_Counting_Count Numbers,https://drive.google.com/open?id=1Aqn0Fpk2Yyhm1MzH37utVihFB5p0T7k8,URL (YouTube),https://www.youtube.com/watch?v=LvvFW4u8hsQ,Learner,Explanation Content,3:40,NA,Standard YouTube License,GKL - Golden Kids Learning_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,More or Less,The Number Line,NA,"More, less",Numbers from One to Nine_More or Less_1,Math-Magic_2_Numbers from One to Nine_More or Less_More or Less,https://drive.google.com/open?id=1FXd1Lhfm-S3ekbUEezmTe8-R9iTzLwtn,URL (YouTube),https://www.youtube.com/watch?v=hx_U-x2ztHc,Learner,Explanation Content,4:57,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,More or Less,The Number Line,NA,"Number line, jump, zero, one, two, three, four, five, six, seven, eight, nine, ten",Numbers from One to Nine_More or Less_2,Math-Magic_2_Numbers from One to Nine_More or Less_Number Line,https://drive.google.com/open?id=1JTHlvTnmmeSRLxqyvcF93bwoBtVxiD65,URL (YouTube),https://www.youtube.com/watch?v=H7QgETRJWyg,Learner,Explanation Content,6:27,NA,Standard YouTube License,Math Mammoth_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,More or Less,The Number Line,NA,"Number line, addition, sum, jump, zero, one, two, three, four, five, six, seven, eight, nine, ten",Numbers from One to Nine_More or Less_3,Math-Magic_2_Numbers from One to Nine_More or Less_Learn Addition using Number Line,https://drive.google.com/open?id=1sSSLMOFGrB2o5b1WLLwnkwitc0ysVMjk,URL (YouTube),https://www.youtube.com/watch?v=tp9n4kMTuQo,Learner,Explanation Content,1:02,NA,Standard YouTube License,Periwinkle_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Count and Match,Counting and Matching,NA,"Counting, match, one, two, three, four, five, six, seven, eight, nine, ten",Numbers from One to Nine_Count and Match_1,Math-Magic_2_Numbers from One to Nine_Count and Match_Count and Match,https://drive.google.com/open?id=1LPyLNmqANUuG14F9HvGeyiH99w6n3riV,URL (YouTube),https://www.youtube.com/watch?v=-UzB17QH27A,Learner,Explanation Content,3:06,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Count and Match,Counting and Matching,NA,"Count, match, one, two, three, four, five, six, seven, eight, nine, ten",Numbers from One to Nine_Count and Match_2,Math-Magic_2_Numbers from One to Nine_Count and Match_Count and Match,https://drive.google.com/open?id=1DMNKOlrfJhm9wiDoL0JZV1WoITaUnij8,URL (YouTube),https://www.youtube.com/watch?v=SuvGIWjsdIo,Learner,Explanation Content,1:35,NA,Standard YouTube License,medsphoto_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Count and Match,Counting and Matching,NA,"Count, match, six, ten, three, four, two",Numbers from One to Nine_Count and Match_3,Math-Magic_2_Numbers from One to Nine_Count and Match_Count and Match,https://drive.google.com/open?id=1bHwUxCdyV9TbFD-5_QM-Ulr5Ob5UqnxY,URL (YouTube),https://www.youtube.com/watch?v=iAwphbJTOOc,Learner,Explanation Content,2:53,NA,Standard YouTube License,Pebbles Kids Learning_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,One,Number,NA,"Number, one",Numbers from One to Nine_One_1,Math-Magic_2_Numbers from One to Nine_One_Numbers from One to Nine,https://drive.google.com/open?id=1q-KE-Cku4rPOsJUEOnzZVfE9w5LCpvNn,URL (YouTube),https://www.youtube.com/watch?v=bpauVwLKvdg,Learner,Explanation Content,1:52,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,One,Number,NA,"Number, one",Numbers from One to Nine_One_2,Math-Magic_2_Numbers from One to Nine_One_Numbers from One to Nine,https://drive.google.com/open?id=1Hm8EDpAOyRsiLvj6PGUdODTWwMggTRLf,URL (YouTube),https://www.youtube.com/watch?v=DR-cfDsHCGA,Learner,Explanation Content,2:41,NA,Standard YouTube License,The Singing Walrus - English Songs For Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Two,Two,NA,"Number, two",Numbers from One to Nine_Two_1,Math-Magic_2_Numbers from One to Nine_Two_Numbers from One to Nine,https://drive.google.com/open?id=1dmKcZu3dvAeV_APRYYoVOVu8jYVD6SI0,URL (YouTube),https://www.youtube.com/watch?v=MWsW8itmiKM,Learner,Explanation Content,1:47,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Three,Three,NA,"Number, three",Numbers from One to Nine_Three_1,Math-Magic_2_Numbers from One to Nine_Three_Numbers from One to Nine,https://drive.google.com/open?id=1OuSVPGbHtWV0rL4SDH4SqEnuvQS9O3-1,URL (YouTube),https://www.youtube.com/watch?v=ikJIKW8g0W0,Learner,Explanation Content,1:47,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Four,Four,NA,"Number, four",Numbers from One to Nine_Four_1,Math-Magic_2_Numbers from One to Nine_Four_Numbers from One to Nine,https://drive.google.com/open?id=13A1EaSRaCvfICl8fKntsKfKkAmJE0uwm,URL (YouTube),https://www.youtube.com/watch?v=_l4QOPEdPOg,Learner,Explanation Content,1:49,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Five,Five,NA,"Number, five",Numbers from One to Nine_Five_1,Math-Magic_2_Numbers from One to Nine_Five_Numbers from One to Nine,https://drive.google.com/open?id=1ERgLgGMnxyRdndjQcd9ijcKYBHUp0iZT,URL (YouTube),https://www.youtube.com/watch?v=9LJflR2TPis,Learner,Explanation Content,2:18,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Six,Six,NA,"Number, six",Numbers from One to Nine_Six_1,Math-Magic_2_Numbers from One to Nine_Six_Numbers from One to Nine,https://drive.google.com/open?id=1Fwape2ObJwCVNZE3sT6YBsQKae3tWh16,URL (YouTube),https://www.youtube.com/watch?v=uuPjllUjYpM,Learner,Explanation Content,2:07,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Seven,Seven,NA,"Number, seven",Numbers from One to Nine_Seven_1,Math-Magic_2_Numbers from One to Nine_Seven_Numbers from One to Nine,https://drive.google.com/open?id=1aZWrd1yVjjxcbN8jrDuJsxaWHK_S9SpD,URL (YouTube),https://www.youtube.com/watch?v=TBW8Ss4xCuM,Learner,Explanation Content,1:46,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Eight,Eight,NA,"Number, eight",Numbers from One to Nine_Eight_1,Math-Magic_2_Numbers from One to Nine_Eight_Numbers from One to Nine,https://drive.google.com/open?id=1cHVJ3hnlsgpXEw26q7qn8un3tkNCyPZX,URL (YouTube),https://www.youtube.com/watch?v=igncYi9oI54,Learner,Explanation Content,2:14,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,2,Numbers from One to Nine,Numbers from 1 to 9,Nine,Nine,NA,"Number, nine",Numbers from One to Nine_Nine_1,Math-Magic_2_Numbers from One to Nine_Nine_Numbers from One to Nine,https://drive.google.com/open?id=1Um4wYVq0lCZAc3c00cuSI8U5gINH1Z3Y,URL (YouTube),https://www.youtube.com/watch?v=CDW8LwvvD9A,Learner,Explanation Content,1:50,NA,Standard YouTube License,Socratica Kids_www.youtube.com,
